#padname,center_x,center_y,side
sdo_B_data_5_o,3600,4781.5,top
VZZ_T_8,3640,4896.5,top
sdo_B_data_6_o,3680,4781.5,top
VDD_T_10,3720,4896.5,top
sdo_B_data_7_o,3760,4781.5,top
VSS_T_10,3800,4896.5,top
sdo_B_sclk_ex_o,3840,4781.5,top
V33_T_9,3880,4896.5,top
sdo_B_tkn_ex_i,3920,4781.5,top
VZZ_T_9,3960,4896.5,top
VDD_T_11,4040,4896.5,top
VSS_T_11,4120,4896.5,top
V33_T_10,4200,4896.5,top
VZZ_T_10,4325,4896.5,top
VDD_T_12,4450,4896.5,top
VZZ_R_6,4896.5,570,right
V33_R_6,4896.5,695,right
VSS_R_16,4896.5,820,right
VDD_R_15,4896.5,900,right
VSS_R_15,4896.5,980,right
VDD_R_14,4896.5,1060,right
sdi_D_sclk_ex_i,4781.5,1100,right
VZZ_R_5,4896.5,1140,right
sdi_D_tkn_ex_o,4781.5,1180,right
V33_R_5,4896.5,1220,right
sdi_D_data_7_i,4781.5,1260,right
VSS_R_14,4896.5,1300,right
sdi_D_data_6_i,4781.5,1340,right
VDD_R_13,4896.5,1380,right
sdi_D_data_5_i,4781.5,1420,right
VSS_R_13,4896.5,1460,right
sdi_D_data_4_i,4781.5,1500,right
VDD_R_12,4896.5,1540,right
misc_R_7_i,4781.5,1580,right
VSS_R_12,4896.5,1620,right
sdi_D_sclk_i,4781.5,1660,right
VDD_R_11,4896.5,1700,right
misc_R_6_i,4781.5,1740,right
VZZ_R_4,4896.5,1780,right
sdi_D_token_o,4781.5,1820,right
V33_R_4,4896.5,1860,right
misc_R_5_i,4781.5,1900,right
VSS_R_11,4896.5,1940,right
sdi_D_ncmd_i,4781.5,1980,right
VDD_R_10,4896.5,2020,right
sdi_D_data_3_i,4781.5,2060,right
VSS_R_10,4896.5,2100,right
sdi_D_data_2_i,4781.5,2140,right
VDD_R_9,4896.5,2180,right
sdi_D_data_1_i,4781.5,2220,right
VSS_R_9,4896.5,2260,right
sdi_D_data_0_i,4781.5,2300,right
VDD_R_8,4896.5,2340,right
misc_R_4_i,4781.5,2380,right
VSS_R_8,4896.5,2420,right
clk_1_n_i,4781.5,2460,right
VDD_R_7,4896.5,2500,right
clk_1_p_i,4781.5,2540,right
VZZ_R_3,4896.5,2580,right
misc_R_3_o,4781.5,2620,right
V33_R_3,4896.5,2660,right
sdi_C_data_0_i,4781.5,2700,right
VSS_R_7,4896.5,2740,right
sdi_C_data_1_i,4781.5,2780,right
VDD_R_6,4896.5,2820,right
sdi_C_data_2_i,4781.5,2860,right
VSS_R_6,4896.5,2900,right
sdi_C_ncmd_i,4781.5,2940,right
VDD_R_5,4896.5,2980,right
misc_R_2_i,4781.5,3020,right
VSS_R_5,4896.5,3060,right
sdi_C_sclk_i,4781.5,3100,right
VDD_R_4,4896.5,3140,right
misc_R_1_i,4781.5,3180,right
VZZ_R_2,4896.5,3220,right
sdi_C_token_o,4781.5,3260,right
V33_R_2,4896.5,3300,right
misc_R_0_i,4781.5,3340,right
VSS_R_4,4896.5,3380,right
sdi_C_data_3_i,4781.5,3420,right
VDD_R_3,4896.5,3460,right
sdi_C_data_4_i,4781.5,3500,right
VSS_R_3,4896.5,3540,right
sdi_C_data_5_i,4781.5,3580,right
VDD_R_2,4896.5,3620,right
sdi_C_data_6_i,4781.5,3660,right
VSS_R_2,4896.5,3700,right
sdi_C_data_7_i,4781.5,3740,right
VDD_R_1,4896.5,3780,right
sdi_C_tkn_ex_o,4781.5,3820,right
VZZ_R_1,4896.5,3860,right
sdi_C_sclk_ex_i,4781.5,3900,right
V33_R_1,4896.5,3940,right
VSS_R_1,4896.5,4020,right
VDD_R_0,4896.5,4100,right
VZZ_R_0,4896.5,4180,right
V33_R_0,4896.5,4305,right
VSS_R_0,4896.5,4430,right
V33_B_0,550,103.5,bottom
VZZ_B_0,675,103.5,bottom
VDD_B_0,800,103.5,bottom
VSS_B_0,880,103.5,bottom
V33_B_1,960,103.5,bottom
VZZ_B_1,1040,103.5,bottom
sdo_C_tkn_ex_i,1080,218.5,bottom
VDD_B_1,1120,103.5,bottom
sdo_C_sclk_ex_o,1160,218.5,bottom
VSS_B_1,1200,103.5,bottom
sdo_C_data_8_o,1240,218.5,bottom
V33_B_2,1280,103.5,bottom
sdo_C_data_7_o,1320,218.5,bottom
VZZ_B_2,1360,103.5,bottom
sdo_C_data_6_o,1400,218.5,bottom
VDD_B_2,1440,103.5,bottom
sdo_C_data_5_o,1480,218.5,bottom
VSS_B_2,1520,103.5,bottom
sdo_C_data_4_o,1560,218.5,bottom
V33_B_3,1600,103.5,bottom
sdo_C_data_3_o,1640,218.5,bottom
VZZ_B_3,1680,103.5,bottom
sdo_C_data_2_o,1720,218.5,bottom
VDD_B_3,1760,103.5,bottom
sdo_C_data_1_o,1800,218.5,bottom
VSS_B_3,1840,103.5,bottom
sdo_C_data_0_o,1880,218.5,bottom
V33_B_4,1920,103.5,bottom
sdo_C_ncmd_o,1960,218.5,bottom
VZZ_B_4,2000,103.5,bottom
sdo_C_token_i,2040,218.5,bottom
VDD_B_4,2080,103.5,bottom
JTAG_TMS_i,2120,218.5,bottom
VSS_B_4,2160,103.5,bottom
sdo_C_sclk_o,2200,218.5,bottom
VDD_B_5,2240,103.5,bottom
JTAG_TDI_i,2280,218.5,bottom
VSS_B_5,2320,103.5,bottom
PLL_VDD_i,2380,218.5,bottom
V33_B_5,2420,103.5,bottom
PLL_VSS_i,2460,218.5,bottom
VZZ_B_5,2500,103.5,bottom
PLL_CLK_i,2540,218.5,bottom
VDD_B_6,2580,103.5,bottom
PLL_V33_i,2620,218.5,bottom
VSS_B_6,2660,103.5,bottom
PLL_VZZ_i,2700,218.5,bottom
VDD_B_7,2760,103.5,bottom
JTAG_TCK_i,2800,218.5,bottom
VSS_B_7,2840,103.5,bottom
sdo_D_sclk_o,2880,218.5,bottom
V33_B_6,2920,103.5,bottom
JTAG_TRST_i,2960,218.5,bottom
VZZ_B_6,3000,103.5,bottom
sdo_D_token_i,3040,218.5,bottom
VDD_B_8,3080,103.5,bottom
sdo_D_ncmd_o,3120,218.5,bottom
VSS_B_8,3160,103.5,bottom
sdo_D_data_0_o,3200,218.5,bottom
V33_B_7,3240,103.5,bottom
sdo_D_data_1_o,3280,218.5,bottom
VZZ_B_7,3320,103.5,bottom
sdo_D_data_2_o,3360,218.5,bottom
VDD_B_9,3400,103.5,bottom
sdo_D_data_3_o,3440,218.5,bottom
VSS_B_9,3480,103.5,bottom
sdo_D_data_4_o,3520,218.5,bottom
V33_B_8,3560,103.5,bottom
sdo_D_data_5_o,3600,218.5,bottom
VZZ_B_8,3640,103.5,bottom
sdo_D_data_6_o,3680,218.5,bottom
VDD_B_10,3720,103.5,bottom
sdo_D_data_7_o,3760,218.5,bottom
VSS_B_10,3800,103.5,bottom
sdo_D_sclk_ex_o,3840,218.5,bottom
V33_B_9,3880,103.5,bottom
sdo_D_tkn_ex_i,3920,218.5,bottom
VZZ_B_9,3960,103.5,bottom
VDD_B_11,4040,103.5,bottom
VSS_B_11,4120,103.5,bottom
V33_B_10,4200,103.5,bottom
VZZ_B_10,4325,103.5,bottom
VDD_B_12,4450,103.5,bottom
