Die#,Subs#,Net Name,Pad Name,Side,Layer,Length,Bond Angle,Die X,Die Y,Subs X,Subs Y,Color,Comments
113,113,VSS,VZZ_B_4,Bottom,Outside,0.9760251021,16.67113051,-0.5,-2.465,-0.78,-3.4,65,
114,114,sdo_C_token_i,sdo_C_token_i,Bottom,Inside,3.789486384,18.65469603,-0.46,-2.369,-1.67212,-5.9594,65,
115,115,VDD,VDD_B_4,Bottom,Outside,2.105943361,18.34813932,-0.42,-2.465,-1.08293,-4.46388,66,
116,116,JTAG_TMS_i,JTAG_TMS_i,Bottom,Inside,3.759463982,15.83488358,-0.38,-2.369,-1.40583,-5.9858,66,
117,117,VSS,VSS_B_4,Bottom,Outside,0.9760251021,16.67113051,-0.34,-2.465,-0.62,-3.4,67,
118,118,sdo_C_sclk_i,sdo_C_sclk_i,Bottom,Inside,3.734132431,12.98681934,-0.3,-2.369,-1.13916,-6.00762,67,
119,119,VDD,VDD_B_5,Bottom,Outside,2.074978905,13.45700449,-0.26,-2.465,-0.74288,-4.48301,68,
120,120,JTAG_TDI_i,JTAG_TDI_i,Bottom,Inside,3.713578347,10.11491849,-0.22,-2.369,-0.87219,-6.02486,68,
121,121,VSS,VSS_B_5,Bottom,Outside,0.9469556484,9.114175055,-0.18,-2.465,-0.33,-3.4,69,
122,122,PLL_VDD_i,PLL_VDD_i,Bottom,Inside,2.156049225,9.965353385,-0.12,-2.369,-0.49311,-4.49252,69,
123,123,V33,V33_B_5,Bottom,Outside,,,,,-0.51145,-5.29301,70,No bond pad - leave disconnected
124,124,PLL_VSS_i,PLL_VSS_i,Bottom,Inside,2.139293481,5.595466554,-0.04,-2.369,-0.24859,-4.4981,70,
125,125,VSS,VZZ_B_5,Bottom,Outside,,,,,-0.09,-3.4,71,No bond pad - leave disconnected
126,126,PLL_CLK_i,PLL_CLK_i,Bottom,Inside,3.687265554,3.869466933,0.04,-2.369,-0.20883,-6.04786,71,
127,127,VDD,VDD_B_6,Bottom,Outside,,,,,1.01E-02,-4.5,72,No bond pad - leave disconnected
128,128,PLL_V33_i,PLL_V33_i,Bottom,Inside,2.133099282,3.526571954,0.12,-2.369,0.25121,-4.49806,72,
129,129,VSS,VSS_B_6,Bottom,Outside,,,,,0.23201,-3.4,73,No bond pad - leave disconnected
130,130,PLL_VZZ_i,PLL_VZZ_i,Bottom,Inside,2.142570206,7.583581101,0.2,-2.369,0.48276,-4.49283,73,
131,131,VDD,VDD_B_7,Bottom,Outside,2.071456309,12.9365263,0.26,-2.465,0.72374,-4.48388,74,
132,132,JTAG_TCK_i,JTAG_TCK_i,Bottom,Inside,3.737355374,13.30035253,0.3,-2.369,1.1598,-6.00611,74,
133,133,VSS,VSS_B_7,Bottom,Outside,0.9789407541,17.23182176,0.34,-2.465,0.63,-3.4,75,
134,134,sdo_D_sclk_i,sdo_D_sclk_i,Bottom,Inside,3.763353276,16.14448502,0.38,-2.369,1.42644,-5.98394,75,
135,135,V33,V33_B_6,Bottom,Outside,2.933172563,18.13622265,0.42,-2.465,1.33303,-5.25245,76,
136,136,JTAG_TRST_i,JTAG_TRST_i,Bottom,Inside,3.794019637,18.95988421,0.46,-2.369,1.6927,-5.95718,76,
