Die#,Subs#,Net Name,Pad Name,Side,Layer,Length,Bond Angle,Die X,Die Y,Subs X,Subs Y,Width,Height
205,205,CO_1_O,co_1_i_PAD,N,I,5.632923969,54.7676844,-1.155,1.347661,-4.404595,5.948744,0.044,0.075
207,207,CO_2_O,co_2_i_PAD,N,I,5.573564588,56.89477903,-1.085,1.347661,-4.12916,6.016463,0.044,0.075
209,209,CO_3_O,co_3_i_PAD,N,I,5.536734117,58.7125242,-0.98,1.347661,-3.855405,6.079201,0.044,0.075
211,211,CO_4_O,co_4_i_PAD,N,I,5.480294934,60.98676298,-0.91,1.347661,-3.568007,6.140221,0.044,0.075
219,219,CO_5_O,co_5_i_PAD,N,I,5.309198734,69.75626015,-0.63,1.347661,-2.46706,6.328906,0.044,0.075
221,221,CO_6_O,co_6_i_PAD,N,I,5.277788474,71.89070838,-0.56,1.347661,-2.200498,6.364016,0.044,0.075
223,223,CO_7_O,co_7_i_PAD,N,I,5.259016449,73.70501526,-0.455,1.34766,-1.930589,6.395421,0.044,0.075
225,225,CO_8_O,co_8_i_PAD,N,I,5.231453834,75.99260917,-0.385,1.347661,-1.651258,6.423555,0.044,0.075
213,213,CO_CLK_O,co_clk_i_PAD,N,I,5.430141681,63.21321446,-0.84,1.347661,-3.287211,6.195093,0.044,0.075
215,215,CO_TKN_I,co_tkn_o_PAD,N,I,5.385244739,65.4116067,-0.77,1.347661,-3.010782,6.244574,0.044,0.075
217,217,CO_V_O,co_v_i_PAD,N,I,5.345932112,67.55194569,-0.7,1.347661,-2.741321,6.288511,0.044,0.075
179,179,CO2_0_O,co2_0_o_PAD,W,O,5.098308255,10.71269954,-1.439207,0.406,-6.44866,1.353696,0.075,0.044
181,181,CO2_1_O,co2_1_o_PAD,W,O,5.117641033,13.02313384,-1.439207,0.48,-6.425218,1.633232,0.075,0.044
183,183,CO2_2_O,co2_2_o_PAD,W,O,5.140812583,15.31565856,-1.439207,0.554,-6.397445,1.911877,0.075,0.044
185,185,CO2_3_O,co2_3_o_PAD,W,O,5.166796184,17.53194813,-1.439207,0.628,-6.366001,2.184433,0.075,0.044
187,187,CO2_4_O,co2_4_o_PAD,W,O,5.196253428,19.71476473,-1.439207,0.7,-6.330875,2.452893,0.075,0.044
