Subs#,Net Name,Side,Subs X,Subs Y
126,PLL_VZZ_i,S,0.48276,-4.49283
127,VDD,S,0.72374,-4.48388
128,JTAG_TCK_i,S,1.1598,-6.00611
129,VSS,S,0.63,-3.4
130,sdo_D_sclk_i,S,1.42644,-5.98394
131,V33,S,1.33303,-5.25245
132,JTAG_TRST_i,S,1.6927,-5.95718
133,VSS,S,0.88,-3.4
134,sdo_D_token_i,S,1.9585,-5.92584
135,VDD,S,1.28707,-4.44895
136,sdo_D_ncmd_o,S,2.22376,-5.88993
137,VSS,S,1.06,-3.4
138,sdo_D_data_0_o,S,2.48842,-5.84944
139,V33,S,2.04516,-5.18788
140,sdo_D_data_1_o,S,2.75239,-5.80438
141,VSS,S,1.33,-3.4
142,sdo_D_data_2_o,S,3.0156,-5.75477
143,VDD,S,2.06135,-4.36873
144,sdo_D_data_3_o,S,3.27797,-5.7006
145,VSS,S,1.62,-3.4
146,sdo_D_data_4_o,S,3.53941,-5.64189
147,V33,S,2.96502,-5.06355
148,sdo_D_data_5_o,S,3.79986,-5.57864
149,VSS,S,1.93,-3.4
150,sdo_D_data_6_o,S,4.05923,-5.51088
151,VDD,S,2.84234,-4.24949
152,sdo_D_data_7_o,S,4.31744,-5.43861
153,VSS,S,2.25,-3.4
154,sdo_D_sclk_ex_o,S,4.57441,-5.36185
155,V33,S,3.9813,-4.87146
156,sdo_D_tkn_ex_i,S,4.83007,-5.28062
157,VSS,S,2.51,-3.4
158,VDD,S,3.3795,-4.1447
159,VSS,S,2.77,-3.4
160,V33,S,4.40519,-4.77397
161,VSS,S,2.96,-3.4
162,VDD,S,3.77106,-4.05638
163,VSS,E,3.4,-2.93
164,V33,E,4.80207,-4.28755
165,VSS,E,3.4,-2.76
166,VDD,E,4.11804,-3.50254
167,VSS,E,3.4,-2.53
168,VDD,E,4.19323,-3.14261
169,sdi_D_sclk_ex_i,E,5.30735,-4.74756
170,VSS,E,3.4,-2.34
171,sdi_D_tkn_ex_o,E,5.38968,-4.483
172,V33,E,4.94734,-3.61538
173,sdi_D_data_7_i,E,5.4672,-4.21716
174,VSS,E,3.4,-2.03
175,sdi_D_data_6_i,E,5.53991,-3.95011
176,VDD,E,4.29853,-2.55089
177,sdi_D_data_5_i,E,5.6078,-3.68196
178,VSS,E,3.4,-1.72
179,sdi_D_data_4_i,E,5.67084,-3.41279
180,VDD,E,4.35771,-2.1457
181,misc_R_7_i,E,5.72904,-3.14269
182,VSS,E,3.4,-1.42
183,sdi_D_sclk_i,E,5.78238,-2.87174
184,VDD,E,4.40461,-1.75812
185,misc_R_6_i,E,5.83087,-2.60002
186,VSS,E,3.4,-1.14
187,sdi_D_token_o,E,5.8745,-2.32764
188,V33,E,5.20465,-1.88642
189,misc_R_5_i,E,5.91327,-2.05466
190,VSS,E,3.4,-0.98
191,sdi_D_ncmd_i,E,5.94717,-1.78117
192,VDD,E,4.45737,-1.17634
193,sdi_D_data_3_i,E,5.97622,-1.50725
194,VSS,E,3.4,-0.69
195,sdi_D_data_2_i,E,6.0004,-1.23299
196,VDD,E,4.48136,-0.77815
197,sdi_D_data_1_i,E,6.01974,-0.95845
198,VSS,E,3.4,-0.39
199,sdi_D_data_0_i,E,6.03421,-0.68373
200,VDD,E,4.49533,-0.38941
201,misc_R_4_i,E,6.04384,-0.40889
202,VSS,E,3.4,-0.14
203,clk_2_i,E,6.04862,-0.13402
204,VDD,E,4.5,0
205,clk_1_i,E,6.04856,0.14081
206,VSS,E,3.4,0.13
207,misc_R_3_i,E,6.04367,0.41552
208,V33,E,5.29381,0.48138
209,sdi_C_data_0_i,E,6.03394,0.69003
210,VSS,E,3.4,0.42
211,sdi_C_data_1_i,E,6.01938,0.96428
212,VDD,E,4.48046,0.79659
213,sdi_C_data_2_i,E,6,1.23818
214,VSS,E,3.4,0.69
215,sdi_C_ncmd_i,E,5.97579,1.51165
216,VDD,E,4.45957,1.14562
217,misc_R_2_i,E,5.94678,1.78462
218,VSS,E,3.4,0.86
219,sdi_C_sclk_i,E,5.91296,2.05701
220,VDD,E,4.44009,1.39412
221,misc_R_1_i,E,5.87433,2.32874
222,VSS,E,3.4,1.12
223,sdi_C_token_o,E,5.83092,2.59973
224,V33,E,5.18004,2.11521
225,misc_R_0_i,E,5.78273,2.86989
226,VSS,E,3.4,1.41
227,sdi_C_data_3_i,E,5.72976,3.13915
228,VDD,E,4.3611,2.12014
229,sdi_C_data_4_i,E,5.67204,3.40743
230,VSS,E,3.4,1.71
231,sdi_C_data_5_i,E,5.60957,3.67464
232,VDD,E,4.29935,2.54576
233,sdi_C_data_6_i,E,5.54418,3.93377
234,VSS,E,3.4,2.02
235,sdi_C_data_7_i,E,5.47252,4.19816
236,VDD,E,4.23563,2.91929
237,sdi_C_tkn_ex_o,E,5.39387,4.46902
238,VSS,E,3.4,2.3
239,sdi_C_sclk_ex_i,E,5.3126,4.73112
240,V33,E,4.91823,3.76015
241,VSS,E,3.4,2.54
242,VDD,E,4.12338,3.47827
243,VSS,E,3.4,2.76
244,V33,E,4.80562,4.27243
245,VSS,E,3.4,2.93
246,VDD,N,3.66415,4.0815
247,VSS,N,2.86,3.4
248,V33,N,4.24485,4.81207
249,VSS,N,2.69,3.4
250,VDD,N,3.29794,4.16182
251,VSS,N,2.36,3.4
252,sdo_B_tkn_ex_i,N,4.6609,5.33471
253,V33,N,3.75596,4.91909
254,sdo_B_sclk_ex_o,N,4.40072,5.41405
255,VSS,N,2.17,3.4
256,sdo_B_data_7_o,N,4.13938,5.48874
257,VDD,N,2.73127,4.26882
258,sdo_B_data_6_o,N,3.87695,5.55878
259,VSS,N,1.87,3.4
260,sdo_B_data_5_o,N,3.61352,5.62415
261,V33,N,2.80967,5.08781
262,sdo_B_data_4_o,N,3.34916,5.68485
263,VSS,N,1.55,3.4
264,sdo_B_data_3_o,N,3.08397,5.74089
265,VDD,N,1.93059,4.38491
266,sdo_B_data_2_o,N,2.81801,5.79224
267,VSS,N,1.29,3.4
268,sdo_B_data_1_o,N,2.55138,5.83891
269,V33,N,1.85875,5.20743
270,sdo_B_data_0_o,N,2.28414,5.8809
271,VSS,N,1,3.4
272,sdo_B_ncmd_o,N,2.01638,5.91822
273,VDD,N,1.35361,4.44352
274,sdo_B_token_i,N,1.74793,5.95093
275,VSS,N,0.83,3.4
276,JTAG_TDO_o,N,1.47934,5.97889
277,V33,N,1.17084,5.26333
278,sdo_B_sclk_i,N,1.21045,6.00216
279,VSS,N,0.54,3.4
280,SMA_in_n_i,N,0.94133,6.02077
281,VDD,N,0.58106,4.48961
282,SMA_in_p_i,N,0.67205,6.03472
283,VSS,N,0.27,3.4
284,misc_T_2_i,N,0.4027,6.044
285,VDD,N,0.2006,4.49876
286,reset_i,N,0.13334,6.04863
287,VSS,N,0,3.4
288,SMA_out_n_o,N,-0.13597,6.04861
289,V33,N,-0.23998,5.29846
290,SMA_out_p_o,N,-0.40514,6.04394
291,VSS,N,-0.27,3.4
292,misc_T_1_i,N,-0.67411,6.03463
293,VDD,N,-0.56582,4.49015
294,sdo_A_sclk_i,N,-0.9428,6.02068
