Die#,Subs#,Net Name,Pad Name,Side,Layer,Length,Bond Angle,Die X,Die Y,Subs X,Subs Y,Color,Comments
32,32,VDD,VDD_L_7,Left,Outside,3.06164646837617,0.378962106379291,-1.4384205,0.02025,-4.5,0,16,
33,33,clk_0_n_i,clk_0_n_i,Left,Inside,4.69770506346878,1.14960166537761,-1.3520205,-0.02025,-6.04878,-0.1145,16,
34,34,VSS,VSS_L_8,Left,Outside,1.96280149208224,2.02188369876816,-1.4384205,-0.06075,-3.4,-0.13,17,
35,35,misc_L_4_i,misc_L_4_i,Left,Inside,4.70074674829545,3.37589450691271,-1.3520205,-0.10125,-6.04461,-0.37806,17,
36,36,VDD,VDD_L_8,Left,Outside,3.06634844604136,4.43678355635241,-1.4384205,-0.14175,-4.49558,-0.37896,18,
37,37,sdi_B_data_0_io,sdi_B_data_0_io,Left,Inside,4.70644242090884,5.60136636018425,-1.3520205,-0.18225,-6.03599,-0.64163,18,
38,38,VSS,VSS_L_9,Left,Outside,1.97049656110338,5.45286282547905,-1.4384205,-0.22275,-3.4,-0.41,19,
39,39,sdi_B_data_1_io,sdi_B_data_1_io,Left,Inside,4.71477868787287,7.82479141631116,-1.3520205,-0.26325,-6.0229,-0.90514,19,
40,40,VDD,VDD_L_9,Left,Outside,3.0759134666356,8.17338505349073,-1.4384205,-0.30375,-4.48309,-0.74105,20,
41,41,sdi_B_data_2_io,sdi_B_data_2_io,Left,Inside,4.7257711491322,10.045042862321,-1.3520205,-0.34425,-6.00535,-1.16853,20,
42,42,VSS,VSS_L_10,Left,Outside,1.98221131500157,8.27387182609695,-1.4384205,-0.38475,-3.4,-0.67,21,
43,43,sdi_B_data_3_io,sdi_B_data_3_io,Left,Inside,4.7393983574184,12.2607071171012,-1.3520205,-0.42525,-5.98332,-1.43171,21,
44,44,VDD,VDD_L_10,Left,Outside,3.09431894819042,12.3884431863048,-1.4384205,-0.46575,-4.46069,-1.1296,22,
45,45,sdi_B_ncmd_i,sdi_B_ncmd_i,Left,Inside,4.75567297651975,14.4708149166527,-1.3520205,-0.50625,-5.95682,-1.69463,22,
46,46,VSS,VSS_L_11,Left,Outside,2.0025994849995,11.6166912378184,-1.4384205,-0.54675,-3.4,-0.95,23,
47,47,misc_L_5_i,misc_L_5_i,Left,Inside,4.77457052978488,16.6741543312813,-1.3520205,-0.58725,-5.92583,-1.95721,23,
48,48,V33,V33_L_4,Left,Outside,3.9537220247433,17.3291811615296,-1.4384205,-0.62775,-5.21268,-1.80541,24,
49,49,sdi_B_token_o,sdi_B_token_o,Left,Inside,4.79610795163644,18.8696610438784,-1.3520205,-0.66825,-5.89037,-2.21939,24,
50,50,VSS,VZZ_L_4,Left,Outside,2.00219771684023,11.5606306626022,-1.4384205,-0.70875,-3.4,-1.11,25,
51,51,misc_L_6_i,misc_L_6_i,Left,Inside,4.8202524011197,21.0561087173829,-1.3520205,-0.74925,-5.85042,-2.48108,25,
52,52,VDD,VDD_L_11,Left,Outside,3.10497289072711,16.6719395028668,-1.4384205,-0.78975,-4.41287,-1.68054,26,
53,53,sdi_B_sclk_i,sdi_B_sclk_i,Left,Inside,4.84699352890431,23.2324919955099,-1.3520205,-0.83025,-5.80598,-2.74221,26,
54,54,VSS,VSS_L_12,Left,Outside,2.02411578159952,14.2794184049213,-1.4384205,-0.87075,-3.4,-1.37,27,
55,55,misc_L_7_i,misc_L_7_i,Left,Inside,4.87634164700857,25.3978635439539,-1.3520205,-0.91125,-5.75707,-3.00272,27,
56,56,VDD,VDD_L_12,Left,Outside,3.13436594850542,20.8173032045324,-1.4384205,-0.95175,-4.36817,-2.06567,28,
57,57,sdi_B_data_4_io,sdi_B_data_4_io,Left,Inside,4.90825623248728,27.5511988682191,-1.3520205,-0.99225,-5.70367,-3.26252,28,
58,58,VSS,VSS_L_13,Left,Outside,2.06249404782662,17.9972043382395,-1.4384205,-1.03275,-3.4,-1.67,29,
59,59,sdi_B_data_5_io,sdi_B_data_5_io,Left,Inside,4.94273005971702,29.6916136034736,-1.3520205,-1.07325,-5.64579,-3.52154,29,
60,60,VDD,VDD_L_13,Left,Outside,3.17494381418479,25.1578183522488,-1.4384205,-1.11375,-4.31219,-2.46346,30,
61,61,sdi_B_data_6_io,sdi_B_data_6_io,Left,Inside,4.97975413013336,31.8182738960279,-1.3520205,-1.15425,-5.58344,-3.77971,30,
62,62,VSS,VSS_L_14,Left,Outside,2.11665223816296,22.0682775467748,-1.4384205,-1.19475,-3.4,-1.99,31,
63,63,sdi_B_data_7_io,sdi_B_data_7_io,Left,Inside,5.01929834254752,33.9302741758169,-1.3520205,-1.23525,-5.51662,-4.03694,31,
64,64,VDD,VDD_L_14,Left,Outside,3.28263025279124,32.2091631841356,-1.4384205,-1.27575,-4.21588,-3.02543,32,
65,65,sdo_C_data_8_o,sdo_C_data_8_o,Bottom,Inside,5.08044677075848,36.3625555660226,-1.28925,-1.3520205,-4.30141,-5.44321,32,
66,66,V33,V33_B_2,Bottom,Outside,4.16757674070439,31.8118300994458,-1.24875,-1.4384205,-3.44561,-4.97996,33,
67,67,sdo_C_data_7_o,sdo_C_data_7_o,Bottom,Inside,5.03704545548879,34.2627438027797,-1.20825,-1.3520205,-4.04405,-5.51496,33,
68,68,VSS,VZZ_B_2,Bottom,Outside,2.10087462674959,20.9814180562696,-1.16775,-1.4384205,-1.92,-3.4,34,
69,69,sdo_C_data_6_o,sdo_C_data_6_o,Bottom,Inside,4.99608752791424,32.1447692948947,-1.12725,-1.3520205,-3.78547,-5.58224,34,
70,70,VDD,VDD_B_2,Bottom,Outside,3.17840546363585,25.1099981213747,-1.08675,-1.4384205,-2.43553,-4.31645,35,
71,71,sdo_C_data_5_o,sdo_C_data_5_o,Bottom,Inside,4.9576276713737,30.0092907373308,-1.04625,-1.3520205,-3.52576,-5.64505,35,
72,72,VSS,VSS_B_2,Bottom,Outside,2.05550412242843,17.3874519298513,-1.00575,-1.4384205,-1.62,-3.4,36,
73,73,sdo_C_data_4_o,sdo_C_data_4_o,Bottom,Inside,4.92169610334184,27.8570877255902,-0.96525,-1.3520205,-3.265,-5.70337,36,
74,74,V33,V33_B_3,Bottom,Outside,4.01310574595665,22.9639384954711,-0.92475,-1.4384205,-2.49047,-5.13349,37,
75,75,sdo_C_data_3_o,sdo_C_data_3_o,Bottom,Inside,4.88832504073023,25.6888586121194,-0.88425,-1.3520205,-3.00326,-5.75719,37,
76,76,VSS,VZZ_B_3,Bottom,Outside,2.01856587638854,13.6467342904024,-0.84375,-1.4384205,-1.32,-3.4,38,
77,77,sdo_C_data_2_o,sdo_C_data_2_o,Bottom,Inside,4.85753146711787,23.5055803088198,-0.80325,-1.3520205,-2.74062,-5.80648,38,
78,78,VDD,VDD_B_3,Bottom,Outside,3.10674754402096,16.5707192610904,-0.76275,-1.4384205,-1.64879,-4.41614,39,
79,79,sdo_C_data_1_o,sdo_C_data_1_o,Bottom,Inside,4.82936592129549,21.3081102579629,-0.72225,-1.3520205,-2.47716,-5.85125,39,
80,80,VSS,VSS_B_3,Bottom,Outside,1.99963301566069,11.1956939338161,-0.68175,-1.4384205,-1.07,-3.4,40,
81,81,sdo_C_data_0_o,sdo_C_data_0_o,Bottom,Inside,4.80197956973687,18.9828182354713,-0.64125,-1.3520205,-2.20326,-5.89285,40,
82,82,V33,V33_B_4,Bottom,Outside,3.91593712621644,14.1980636343617,-0.60075,-1.4384205,-1.56123,-5.23474,41,
